108
0.000000 4.054328
0.000000 4.054328
0.000000 4.054328
1.926486	3.154463	2.670483	0.707107
3.901995	2.136203	1.237662	0.707107
2.154221	0.657537	1.172036	0.707107
2.638623	2.855203	0.383523	0.707107
1.358157	2.006506	2.065958	0.707107
1.187925	3.787593	3.640521	0.707107
0.426576	3.153658	1.141676	0.707107
1.689285	3.684784	2.162269	0.707107
3.727205	0.855990	0.497812	0.707107
1.053316	2.050529	2.892639	0.707107
0.988024	3.091232	3.757940	0.707107
3.414523	2.526584	0.761411	0.707107
1.062391	3.420114	2.879282	0.707107
2.427083	0.060084	2.425605	0.707107
1.413272	0.761709	1.582735	0.707107
2.640141	0.867781	2.496376	0.707107
0.032408	3.883967	1.683485	0.707107
3.704490	1.544987	2.979032	0.707107
1.489110	1.632573	3.296776	0.707107
3.762714	0.349907	1.188023	0.707107
3.556104	3.807695	0.511872	0.707107
0.528234	1.794395	2.144525	0.707107
3.836438	1.316619	1.242176	0.707107
1.598116	2.497612	0.447657	0.707107
0.512490	0.930318	0.921854	0.707107
3.207440	1.436614	0.465641	0.707107
2.471141	1.284206	0.817395	0.707107
1.955072	1.390939	0.084465	0.707107
3.713048	3.600822	3.828120	0.707107
1.014723	0.400958	0.354642	0.707107
2.402466	1.472377	1.808491	0.707107
3.918730	3.946660	2.369995	0.707107
0.870605	2.078150	0.249264	0.707107
3.464055	2.397291	1.737353	0.707107
0.517217	4.030765	2.642516	0.707107
1.730552	0.070848	0.459785	0.707107
0.273849	1.423038	3.376635	0.707107
1.264468	2.150882	1.076040	0.707107
0.732292	2.828277	0.469620	0.707107
0.871145	0.422817	1.900690	0.707107
2.752377	1.111275	4.052887	0.707107
2.802135	2.590130	3.759907	0.707107
3.430291	2.929724	3.946065	0.707107
3.162311	4.001991	2.567301	0.707107
2.611334	3.023370	1.079704	0.707107
1.582100	3.338704	0.373401	0.707107
1.935964	0.725234	3.551485	0.707107
0.001935	3.196556	0.536953	0.707107
2.634731	1.994481	0.554701	0.707107
0.434362	1.161269	0.101918	0.707107
2.107185	2.233340	3.913510	0.707107
2.124351	3.195834	3.751490	0.707107
0.448543	0.972820	2.054475	0.707107
3.680093	1.711350	1.966457	0.707107
2.874334	0.155191	3.255036	0.707107
2.560877	1.249996	3.236857	0.707107
1.536064	0.943645	0.669761	0.707107
2.930081	1.070152	1.338361	0.707107
3.293458	3.101351	1.981842	0.707107
2.459826	3.742705	0.093578	0.707107
2.495695	4.046788	1.223033	0.707107
4.010751	2.397310	0.044139	0.707107
1.168225	0.433471	2.837475	0.707107
1.467587	2.777375	1.711000	0.707107
3.690067	0.420552	3.328258	0.707107
0.029910	3.769609	3.242409	0.707107
2.827791	2.020963	3.206191	0.707107
2.139900	2.396998	1.044399	0.707107
0.999651	3.764850	0.618432	0.707107
2.034923	3.313976	1.633745	0.707107
0.422272	2.839543	3.293612	0.707107
1.162177	3.216908	1.075344	0.707107
0.416943	0.295869	3.971697	0.707107
2.130621	3.493431	0.846942	0.707107
0.920131	2.697348	2.558721	0.707107
0.862609	0.206702	1.140576	0.707107
0.446979	0.657777	3.077642	0.707107
3.175898	3.213060	0.678195	0.707107
1.819768	1.594780	1.297322	0.707107
2.259701	2.560422	2.029170	0.707107
2.037275	2.374841	2.847150	0.707107
3.399343	1.274197	3.684627	0.707107
3.208296	2.686897	3.172831	0.707107
1.048071	0.947679	3.346455	0.707107
1.904281	0.716507	2.106445	0.707107
2.139445	3.961985	3.544797	0.707107
2.243057	0.640931	0.365771	0.707107
1.274388	1.209192	4.001732	0.707107
1.568117	2.610837	3.358470	0.707107
1.758640	3.910167	2.937239	0.707107
3.313864	1.992356	0.010473	0.707107
3.057948	1.840627	1.371436	0.707107
1.295991	1.252876	2.279206	0.707107
0.707051	1.637049	1.268823	0.707107
3.996438	2.442492	2.263716	0.707107
3.640964	3.326368	2.721481	0.707107
0.703785	3.684567	1.818935	0.707107
3.469951	3.650227	1.308278	0.707107
0.512745	1.264313	2.716767	0.707107
0.309497	3.059221	2.057892	0.707107
3.072098	0.338351	3.983162	0.707107
2.790058	3.613098	2.016906	0.707107
3.157110	1.895613	2.425286	0.707107
3.026446	3.406201	3.603680	0.707107
0.029518	2.251427	2.999427	0.707107
2.612173	3.498626	3.011275	0.707107
0.293194	1.585024	0.693598	0.707107
3.138526	1.203292	2.028119	0.707107
